Core,Date,Time,Run,Headspace,Valve
BC3-5,7/17/18,9:15-10:30AM,1,17.5,1
BC3-3,7/17/18,9:15-10:30AM,1,15,2
BC3-2,7/17/18,9:15-10:30AM,1,16.5,3
BC4-12,7/17/18,9:15-10:30AM,1,17,5
BC2-13,7/17/18,9:15-10:30AM,1,16.5,6
BC4-3,7/17/18,9:15-10:30AM,1,15,7
BC4-8,7/17/18,9:15-10:30AM,1,15,8
BC2-10,7/17/18,9:15-10:30AM,1,17,9
BC2-15,7/17/18,9:15-10:30AM,1,16.5,10
BC2-7,7/17/18,9:15-10:30AM,1,16.5,11
BC2-5,7/17/18,9:15-10:30AM,1,16,12
BC3-14,7/17/18,9:15-10:30AM,1,16,13
BC4-15,7/17/18,9:15-10:30AM,1,15,14
BC4-9,7/17/18,9:15-10:30AM,1,16.5,15
BC14-11,7/17/18,11:01AM-12:06PM,2,15,1
BC3-7,7/17/18,11:01AM-12:06PM,2,16.5,2
BC13-11,7/17/18,11:01AM-12:06PM,2,15,3
BC12-13,7/17/18,11:01AM-12:06PM,2,17,5
BC13-14,7/17/18,11:01AM-12:06PM,2,15,6
BC12-4,7/17/18,11:01AM-12:06PM,2,17,7
BC14-6,7/17/18,11:01AM-12:06PM,2,16,8
BC14-9,7/17/18,11:01AM-12:06PM,2,17,9
BC13-5,7/17/18,11:01AM-12:06PM,2,18,10
BC14-12,7/17/18,11:01AM-12:06PM,2,16,11
BC13-12,7/17/18,11:01AM-12:06PM,2,14.5,12
BC12-14,7/17/18,11:01AM-12:06PM,2,13,13
BC12-1,7/17/18,11:01AM-12:06PM,2,15,14
BC13-13,7/17/18,11:01AM-12:06PM,2,15,15
BC15-2,7/17/18,12:33-2:15PM,3,15,1
BC14-13,7/17/18,12:33-2:15PM,3,15,2
BC15-7,7/17/18,12:33-2:15PM,3,22,3
BC12-3,7/17/18,12:33-2:15PM,3,15,5
BC15-5,7/17/18,12:33-2:15PM,3,15,6
BC13-15,7/17/18,12:33-2:15PM,3,15,7
BC13-8,7/17/18,12:33-2:15PM,3,18,8
BC13-9,7/17/18,12:33-2:15PM,3,19,9
BC13-2,7/17/18,12:33-2:15PM,3,16,10
BC13-15,7/17/18,12:33-2:15PM,3,15,11
BC13-4,7/17/18,12:33-2:15PM,3,17.5,12
BC15-15,7/17/18,12:33-2:15PM,3,16,13
BC3-10,7/17/18,12:33-2:15PM,3,17,14
BC13-7,7/17/18,12:33-2:15PM,3,15,15
BC2-11,7/17/18,2.47-3.55,4,16.5,1
BC2-3,7/17/18,2.47-3.55,4,16,2
BC3-6,7/17/18,2.47-3.55,4,15,3
BC13-3,7/17/18,2.47-3.55,4,17,5
BC2-2,7/17/18,2.47-3.55,4,16.5,6
BC2-11,7/17/18,2.47-3.55,4,16.5,7
BC2-14,7/17/18,2.47-3.55,4,17.5,8
BC2-9,7/17/18,2.47-3.55,4,16,9
BC2-8,7/17/18,2.47-3.55,4,17,10
BC2-12,7/17/18,2.47-3.55,4,17,11
BC13-6,7/17/18,2.47-3.55,4,16.5,12
BC2-4,7/17/18,2.47-3.55,4,17,13
BC15-11,7/17/18,2.47-3.55,4,20,14
BC2-6,7/17/18,2.47-3.55,4,15,15
BC4-10,7/17/18,4.14-5.15,5,15,1
BC4-13,7/17/18,4.14-5.15,5,15.5,2
BC3-15,7/17/18,4.14-5.15,5,16.5,3
BC4-2,7/17/18,4.14-5.15,5,17.5,5
BC4-5,7/17/18,4.14-5.15,5,15,6
BC4-1,7/17/18,4.14-5.15,5,16,7
BC3-12,7/17/18,4.14-5.15,5,15,8
BC3-4,7/17/18,4.14-5.15,5,16.5,9
BC3-10,7/17/18,4.14-5.15,5,17,10
BC3-9,7/17/18,4.14-5.15,5,16.5,11
BC3-11,7/17/18,4.14-5.15,5,17,12
BC3-13,7/17/18,4.14-5.15,5,16.5,13
BC3-1,7/17/18,4.14-5.15,5,18,14
BC3-8,7/17/18,4.14-5.15,5,17,15
BC12-7,7/17/18,5.34-6.35,6,15,1
BC12-9,7/17/18,5.34-6.35,6,17,2
BC12-8,7/17/18,5.34-6.35,6,16.5,3
BC12-11,7/17/18,5.34-6.35,6,15,5
BC12-15,7/17/18,5.34-6.35,6,15,6
BC12-6,7/17/18,5.34-6.35,6,17,7
BC12-10,7/17/18,5.34-6.35,6,17,8
BC4-6,7/17/18,5.34-6.35,6,15,9
BC4-7,7/17/18,5.34-6.35,6,15,10
BC4-14,7/17/18,5.34-6.35,6,15,11
BC4-4,7/17/18,5.34-6.35,6,17,12
BC12-5,7/17/18,5.34-6.35,6,17,13
BC12-12,7/17/18,5.34-6.35,6,15,14
BC4-11,7/17/18,5.34-6.35,6,15,15
BC14-5,7/17/18,6.47-7.50,7,15,1
BC14-15,7/17/18,6.47-7.50,7,15,2
BC14-2,7/17/18,6.47-7.50,7,17,3
BC14-4,7/17/18,6.47-7.50,7,16,5
BC14-1,7/17/18,6.47-7.50,7,15,6
BC12-2,7/17/18,6.47-7.50,7,15.5,7
BC15-9,7/17/18,6.47-7.50,7,19,8
BC14-7,7/17/18,6.47-7.50,7,15,9
BC14-3,7/17/18,6.47-7.50,7,15,10
BC15-8,7/17/18,6.47-7.50,7,19,11
BC15-3,7/17/18,6.47-7.50,7,18,12
BC14-14,7/17/18,6.47-7.50,7,14,13
BC14-10,7/17/18,6.47-7.50,7,15,14
BC14-8,7/17/18,6.47-7.50,7,15,15
BC15-13,7/17/18,8.00-9.06,8,17,1
BC15-12,7/17/18,8.00-9.06,8,16,2
BC15-6,7/17/18,8.00-9.06,8,17,3
BC15-10,7/17/18,8.00-9.06,8,17,5
BC15-1,7/17/18,8.00-9.06,8,15,6
BC15-4,7/17/18,8.00-9.06,8,16,7
BC15-14,7/17/18,8.00-9.06,8,16,8
BC2-13,7/19/18,8.44-9.45 am,1,16.5,1
BC2-15,7/19/18,8.44-9.45 am,1,16.5,3
BC3-5,7/19/18,8.44-9.45 am,1,17.5,4
BC2-7,7/19/18,8.44-9.45 am,1,16.5,5
BC2-5,7/19/18,8.44-9.45 am,1,16,6
BC2-10,7/19/18,8.44-9.45 am,1,17,7
BC3-7,7/19/18,8.44-9.45 am,1,16.5,8
BC4-3,7/19/18,8.44-9.45 am,1,15,9
BC3-2,7/19/18,8.44-9.45 am,1,16.5,10
BC3-3,7/19/18,8.44-9.45 am,1,15,11
BC4-9,7/19/18,8.44-9.45 am,1,16.5,12
BC4-8,7/19/18,8.44-9.45 am,1,15,13
BC3-14,7/19/18,8.44-9.45 am,1,16,14
BC4-15,7/19/18,8.44-9.45 am,1,15,15
BC4-12,7/19/18,10.02-11.09,2,17,1
BC12-14,7/19/18,10.02-11.09,2,13,3
BC12-4,7/19/18,10.02-11.09,2,17,4
BC13-14,7/19/18,10.02-11.09,2,15,5
BC13-11,7/19/18,10.02-11.09,2,15,6
BC12-3,7/19/18,10.02-11.09,2,15,7
BC13-5,7/19/18,10.02-11.09,2,18,8
BC13-12,7/19/18,10.02-11.09,2,14.5,9
BC14-13,7/19/18,10.02-11.09,2,15,10
BC13-13,7/19/18,10.02-11.09,2,15,11
BC14-11,7/19/18,10.02-11.09,2,15,12
BC12-14,7/19/18,10.02-11.09,2,13,13
BC12-13,7/19/18,10.02-11.09,2,17,14
BC14-9,7/19/18,10.02-11.09,2,17,15
BC13-4,7/19/18,11.27-12.42,3,17.5,1
BC13-1,7/19/18,11.27-12.42,3,17,3
BC13-7,7/19/18,11.27-12.42,3,15,4
BC13-3,7/19/18,11.27-12.42,3,17,5
BC14-6,7/19/18,11.27-12.42,3,16,6
BC13-9,7/19/18,11.27-12.42,3,19,7
BC13-8,7/19/18,11.27-12.42,3,18,8
BC15-7,7/19/18,11.27-12.42,3,22,9
BC15-2,7/19/18,11.27-12.42,3,15,10
BC13-2,7/19/18,11.27-12.42,3,16,11
BC15-5,7/19/18,11.27-12.42,3,15,12
BC14-12,7/19/18,11.27-12.42,3,16,13
BC15-11,7/19/18,11.27-12.42,3,20,14
BC15-15,7/19/18,11.27-12.42,3,16,15
BC2-14,7/19/18,1:16-2:21PM,4,17.5,1
BC3-12,7/19/18,1:16-2:21PM,4,15,3
BC2-9,7/19/18,1:16-2:21PM,4,16,4
BC13-15,7/19/18,1:16-2:21PM,4,15,5
BC13-6,7/19/18,1:16-2:21PM,4,16.5,6
BC13-10,7/19/18,1:16-2:21PM,4,18,7
BC3-6,7/19/18,1:16-2:21PM,4,15,8
BC2-8,7/19/18,1:16-2:21PM,4,17,9
BC2-2,7/19/18,1:16-2:21PM,4,16.5,10
BC2-4,7/19/18,1:16-2:21PM,4,17,11
BC2-6,7/19/18,1:16-2:21PM,4,15,12
BC2-1,7/19/18,1:16-2:21PM,4,15,13
BC2-3,7/19/18,1:16-2:21PM,4,16,14
BC2-11,7/19/18,1:16-2:21PM,4,16.5,15
BC3-4,7/19/18,2.46-3.52,5,16.5,1
BC3-9,7/19/18,2.46-3.52,5,16.5,3
BC3-10,7/19/18,2.46-3.52,5,17,4
BC3-11,7/19/18,2.46-3.52,5,17,5
BC3-1,7/19/18,2.46-3.52,5,18,6
BC4-14,7/19/18,2.46-3.52,5,15,7
BC4-1,7/19/18,2.46-3.52,5,16,8
BC4-10,7/19/18,2.46-3.52,5,15,9
BC3-13,7/19/18,2.46-3.52,5,16.5,10
BC4-4,7/19/18,2.46-3.52,5,17,11
BC3-15,7/19/18,2.46-3.52,5,16.5,12
BC4-13,7/19/18,2.46-3.52,5,15.5,13
BC3-12,7/19/18,2.46-3.52,5,15,14
BC3-8,7/19/18,2.46-3.52,5,17,15
BC12-11,7/19/18,4.04-5.06,6,15,1
BC12-12,7/19/18,4.04-5.06,6,15,3
BC12-10,7/19/18,4.04-5.06,6,17,4
BC12-6,7/19/18,4.04-5.06,6,17,5
BC12-5,7/19/18,4.04-5.06,6,17,6
BC4-11,7/19/18,4.04-5.06,6,15,7
BC12-9,7/19/18,4.04-5.06,6,17,8
BC12-7,7/19/18,4.04-5.06,6,15,9
BC4-2,7/19/18,4.04-5.06,6,17.5,10
BC4-6,7/19/18,4.04-5.06,6,15,11
BC12-8,7/19/18,4.04-5.06,6,16.5,12
BC12-2,7/19/18,4.04-5.06,6,15.5,13
BC4-7,7/19/18,4.04-5.06,6,15,14
BC12-15,7/19/18,4.04-5.06,6,15,15
BC14-3,7/19/18,5.39-6.44,7,15,1
BC14-15,7/19/18,5.39-6.44,7,15,3
BC4-5,7/19/18,5.39-6.44,7,15,4
BC14-7,7/19/18,5.39-6.44,7,15,5
BC14-4,7/19/18,5.39-6.44,7,16,6
BC14-8,7/19/18,5.39-6.44,7,15,7
BC15-1,7/19/18,5.39-6.44,7,15,8
BC14-1,7/19/18,5.39-6.44,7,15,9
BC14-14,7/19/18,5.39-6.44,7,14,10
BC14-8,7/19/18,5.39-6.44,7,15,11
BC14-10,7/19/18,5.39-6.44,7,15,12
**,7/19/18,5.39-6.44,7,15,13
BC15-8,7/19/18,5.39-6.44,7,19,14
BC15-9,7/19/18,5.39-6.44,7,19,15
BC15-12,7/19/18,6.54-7.37,8,16,1
BC15-14,7/19/18,6.54-7.37,8,16,3
BC15-4,7/19/18,6.54-7.37,8,16,4
BC15-3,7/19/18,6.54-7.37,8,18,5
BC15-13,7/19/18,6.54-7.37,8,17,6
BC14-5,7/19/18,6.54-7.37,8,15,7
BC15-10,7/19/18,6.54-7.37,8,17,8
BC15-6,7/19/18,6.54-7.37,8,17,9
BC2-5,7/21/18,8.10-9.16,1,16,1
BC4-5,7/21/18,8.10-9.16,1,15,3
BC4-15,7/21/18,8.10-9.16,1,15,4
BC2-7,7/21/18,8.10-9.16,1,16.5,5
BC2-10,7/21/18,8.10-9.16,1,17,6
BC2-15,7/21/18,8.10-9.16,1,16.5,7
BC2-13,7/21/18,8.10-9.16,1,16.5,8
BC3-2,7/21/18,8.10-9.16,1,16.5,9
BC3-5,7/21/18,8.10-9.16,1,17.5,10
BC4-9,7/21/18,8.10-9.16,1,16.5,11
BC3-3,7/21/18,8.10-9.16,1,15,12
BC3-7,7/21/18,8.10-9.16,1,16.5,13
BC3-14,7/21/18,8.10-9.16,1,16,14
BC4-12,7/21/18,8.10-9.16,1,17,15
BC12-14,7/21/18,9.27-10.42,2,13,1
BC12-13,7/21/18,9.27-10.42,2,17,3
BC12-4,7/21/18,9.27-10.42,2,17,4
BC13-12,7/21/18,9.27-10.42,2,14.5,5
BC13-14,7/21/18,9.27-10.42,2,15,6
BC13-11,7/21/18,9.27-10.42,2,15,7
BC4-8,7/21/18,9.27-10.42,2,15,8
BC13-13,7/21/18,9.27-10.42,2,15,9
BC14-6,7/21/18,9.27-10.42,2,16,10
BC14-13,7/21/18,9.27-10.42,2,15,11
BC13-15,7/21/18,9.27-10.42,2,15,12
BC14-11,7/21/18,9.27-10.42,2,15,13
BC12-1,7/21/18,9.27-10.42,2,15,14
BC14-12,7/21/18,9.27-10.42,2,16,15
BC12-3,7/21/18,10.56-12.02,3,15,1
BC15-14,7/21/18,10.56-12.02,3,16,3
BC15-8,7/21/18,10.56-12.02,3,19,4
BC14-9,7/21/18,10.56-12.02,3,17,5
BC15-15,7/21/18,10.56-12.02,3,16,6
BC15-12,7/21/18,10.56-12.02,3,16,7
BC15-7,7/21/18,10.56-12.02,3,22,8
BC15-13,7/21/18,10.56-12.02,3,17,9
BC15-1,7/21/18,10.56-12.02,3,15,10
BC15-10,7/21/18,10.56-12.02,3,17,11
BC15-6,7/21/18,10.56-12.02,3,17,12
BC15-4,7/21/18,10.56-12.02,3,16,13
BC15-3,7/21/18,10.56-12.02,3,18,14
BC15-9,7/21/18,10.56-12.02,3,19,15
BC13-3,7/21/18,12.12-1.25,4,17,1
BC13-4,7/21/18,12.12-1.25,4,17.5,3
BC2-2,7/21/18,12.12-1.25,4,16.5,4
BC13-15,7/21/18,12.12-1.25,4,15,5
BC13-15,7/21/18,12.12-1.25,4,15,6
BC13-6,7/21/18,12.12-1.25,4,16.5,7
BC13-8,7/21/18,12.12-1.25,4,18,8
BC13-9,7/21/18,12.12-1.25,4,19,9
BC13-2,7/21/18,12.12-1.25,4,16,10
BC15-2,7/21/18,12.12-1.25,4,15,11
BC15-11,7/21/18,12.12-1.25,4,20,12
BC13-7,7/21/18,12.12-1.25,4,15,13
BC13-10,7/21/18,12.12-1.25,4,18,14
BC15-5,7/21/18,12.12-1.25,4,15,15
BC2-6,7/21/18,1.32-2.39,5,15,1
BC2-3,7/21/18,1.32-2.39,5,16,3
BC12-11,7/21/18,1.32-2.39,5,15,4
BC2-12,7/21/18,1.32-2.39,5,17,5
BC2-4,7/21/18,1.32-2.39,5,17,6
BC2-12,7/21/18,1.32-2.39,5,17,7
BC2-14,7/21/18,1.32-2.39,5,17.5,8
BC3-8,7/21/18,1.32-2.39,5,17,9
BC3-1,7/21/18,1.32-2.39,5,18,10
BC2-9,7/21/18,1.32-2.39,5,16,11
BC3-15,7/21/18,1.32-2.39,5,16.5,12
BC2-8,7/21/18,1.32-2.39,5,17,13
BC3-9,7/21/18,1.32-2.39,5,16.5,14
BC3-4,7/21/18,1.32-2.39,5,16.5,15
BC4-7,7/21/18,2.51-3.56,6,15,1
BC4-2,7/21/18,2.51-3.56,6,17.5,3
BC4-4,7/21/18,2.51-3.56,6,17,4
BC4-6,7/21/18,2.51-3.56,6,15,5
BC4-13,7/21/18,2.51-3.56,6,15.5,6
BC4-14,7/21/18,2.51-3.56,6,15,7
BC4-1,7/21/18,2.51-3.56,6,16,8
BC3-13,7/21/18,2.51-3.56,6,16.5,9
BC3-6,7/21/18,2.51-3.56,6,15,10
BC4-5,7/21/18,2.51-3.56,6,15,11
BC4-10,7/21/18,2.51-3.56,6,15,12
BC3-11,7/21/18,2.51-3.56,6,17,13
BC3-12,7/21/18,2.51-3.56,6,15,14
BC3-10,7/21/18,2.51-3.56,6,17,15
BC14-7,7/21/18,4.00-5.13,7,15,1
BC12-6,7/21/18,4.00-5.13,7,17,3
BC14-2,7/21/18,4.00-5.13,7,17,4
BC14-4,7/21/18,4.00-5.13,7,16,5
BC12-15,7/21/18,4.00-5.13,7,15,6
BC12-11,7/21/18,4.00-5.13,7,15,7
BC4-11,7/21/18,4.00-5.13,7,15,8
BC12-12,7/21/18,4.00-5.13,7,15,9
BC12-2,7/21/18,4.00-5.13,7,15.5,10
BC12-5,7/21/18,4.00-5.13,7,17,11
BC12-9,7/21/18,4.00-5.13,7,17,12
BC12-8,7/21/18,4.00-5.13,7,16.5,13
BC12-10,7/21/18,4.00-5.13,7,17,14
BC12-7,7/21/18,4.00-5.13,7,15,15
BC14-8,7/21/18,5.20-5.58,8,15,1
BC14-1,7/21/18,5.20-5.58,8,15,3
BC14-15,7/21/18,5.20-5.58,8,15,4
BC14-10,7/21/18,5.20-5.58,8,15,5
BC14-3,7/21/18,5.20-5.58,8,15,6
BC14-5,7/21/18,5.20-5.58,8,15,7
BC14-14,7/21/18,5.20-5.58,8,14,8
BC2-6,7/24/18,8.40-9.46,1,15,1
BC2-9,7/24/18,8.40-9.46,1,16,3
BC2-4,7/24/18,8.40-9.46,1,17,4
BC13-9,7/24/18,8.40-9.46,1,19,5
BC13-10,7/24/18,8.40-9.46,1,18,6
BC2-2,7/24/18,8.40-9.46,1,16.5,7
BC13-3,7/24/18,8.40-9.46,1,17,8
BC13-4,7/24/18,8.40-9.46,1,17.5,9
BC13-6,7/24/18,8.40-9.46,1,16.5,10
BC13-8,7/24/18,8.40-9.46,1,18,11
BC13-1,7/24/18,8.40-9.46,1,17,12
BC13-7,7/24/18,8.40-9.46,1,15,13
BC13-15,7/24/18,8.40-9.46,1,15,14
BC13-2,7/24/18,8.40-9.46,1,16,15
BC2-6,7/24/18,10.00-11.05,2,15,1
BC2-9,7/24/18,10.00-11.05,2,15,3
BC2-4,7/24/18,10.00-11.05,2,17,4
BC13-9,7/24/18,10.00-11.05,2,19,5
BC13-10,7/24/18,10.00-11.05,2,18,6
BC2-2,7/24/18,10.00-11.05,2,16.5,7
BC13-3,7/24/18,10.00-11.05,2,17,8
BC13-4,7/24/18,10.00-11.05,2,17.5,9
BC13-6,7/24/18,10.00-11.05,2,16.5,10
BC13-8,7/24/18,10.00-11.05,2,15,11
BC13-1,7/24/18,10.00-11.05,2,14,12
BC13-7,7/24/18,10.00-11.05,2,15,13
BC13-15,7/24/18,10.00-11.05,2,15,14
BC13-2,7/24/18,10.00-11.05,2,16,15
BC2-12,7/24/18,11.23-12.31,3,17,1
BC2-11,7/24/18,11.23-12.31,3,16.5,3
BC3-12,7/24/18,11.23-12.31,3,15,4
BC3-11,7/24/18,11.23-12.31,3,17,5
BC2-1,7/24/18,11.23-12.31,3,15,6
BC3-10,7/24/18,11.23-12.31,3,17,7
BC3-4,7/24/18,11.23-12.31,3,16.5,8
BC2-3,7/24/18,11.23-12.31,3,16,9
BC3-6,7/24/18,11.23-12.31,3,15,10
BC3-15,7/24/18,11.23-12.31,3,16.5,11
BC2-8,7/24/18,11.23-12.31,3,17,12
BC2-14,7/24/18,11.23-12.31,3,17.5,13
BC3-13,7/24/18,11.23-12.31,3,16.5,14
BC3-8,7/24/18,11.23-12.31,3,17,15
BC2-12,7/24/18,12.46-2.00,4,17,1
BC2-11,7/24/18,12.46-2.00,4,16.5,3
BC3-12,7/24/18,12.46-2.00,4,14,4
BC3-11,7/24/18,12.46-2.00,4,14.5,5
BC2-1,7/24/18,12.46-2.00,4,15,6
BC3-10,7/24/18,12.46-2.00,4,15,7
BC3-4,7/24/18,12.46-2.00,4,16.5,8
BC2-3,7/24/18,12.46-2.00,4,16,9
BC3-6,7/24/18,12.46-2.00,4,15,10
BC3-15,7/24/18,12.46-2.00,4,16.5,11
BC2-8,7/24/18,12.46-2.00,4,17,12
BC2-14,7/24/18,12.46-2.00,4,17.5,13
BC3-13,7/24/18,12.46-2.00,4,16.5,14
BC3-8,7/24/18,12.46-2.00,4,17,15
BC3-1,7/24/18,2.31-3.34,5,18,1
BC4-4,7/24/18,2.31-3.34,5,17,3
BC4-5,7/24/18,2.31-3.34,5,15,5
BC4-6,7/24/18,2.31-3.34,5,15,6
BC4-2,7/24/18,2.31-3.34,5,17.5,7
BC4-14,7/24/18,2.31-3.34,5,15,8
BC3-9,7/24/18,2.31-3.34,5,16.5,9
BC4-1,7/24/18,2.31-3.34,5,16,10
BC4-11,7/24/18,2.31-3.34,5,15,11
BC4-13,7/24/18,2.31-3.34,5,15.5,12
BC4-7,7/24/18,2.31-3.34,5,15,13
BC4-10,7/24/18,2.31-3.34,5,15,14
BC3-1,7/24/18,3.57-5.00,6,15,1
BC4-4,7/24/18,3.57-5.00,6,16,3
BC4-5,7/24/18,3.57-5.00,6,15,5
BC4-6,7/24/18,3.57-5.00,6,12,6
BC4-2,7/24/18,3.57-5.00,6,15,7
BC4-14,7/24/18,3.57-5.00,6,14,8
BC3-9,7/24/18,3.57-5.00,6,16.5,9
BC4-1,7/24/18,3.57-5.00,6,16,10
BC4-11,7/24/18,3.57-5.00,6,15,11
BC4-13,7/24/18,3.57-5.00,6,15.5,12
BC4-7,7/24/18,3.57-5.00,6,15,13
BC4-10,7/24/18,3.57-5.00,6,15,14
BC13-2,7/25/18,9.46-10.56,1,16,1
BC13-8,7/25/18,9.46-10.56,1,18,3
BC2-4,7/25/18,9.46-10.56,1,17,4
BC2-9,7/25/18,9.46-10.56,1,16,5
BC13-6,7/25/18,9.46-10.56,1,16.5,6
BC2-2,7/25/18,9.46-10.56,1,16.5,7
BC13-1,7/25/18,9.46-10.56,1,17,8
BC13-10,7/25/18,9.46-10.56,1,18,9
BC2-6,7/25/18,9.46-10.56,1,15,10
BC13-15,7/25/18,9.46-10.56,1,15,11
BC13-4,7/25/18,9.46-10.56,1,17.5,12
BC13-3,7/25/18,9.46-10.56,1,17,13
BC13-9,7/25/18,9.46-10.56,1,19,14
BC13-7,7/25/18,9.46-10.56,1,15,15
BC3-8,7/25/18,11.21-12.27,2,17,1
BC3-15,7/25/18,11.21-12.27,2,16.5,3
BC3-11,7/25/18,11.21-12.27,2,17,4
BC2-3,7/25/18,11.21-12.27,2,16,5
BC2-14,7/25/18,11.21-12.27,2,17.5,6
BC2-8,7/25/18,11.21-12.27,2,17,7
BC3-13,7/25/18,11.21-12.27,2,16.5,8
BC2-11,7/25/18,11.21-12.27,2,16.5,9
BC3-6,7/25/18,11.21-12.27,2,15,10
BC2-12,7/25/18,11.21-12.27,2,17,11
BC2-1,7/25/18,11.21-12.27,2,15,12
BC3-10,7/25/18,11.21-12.27,2,17,13
BC3-12,7/25/18,11.21-12.27,2,15,14
BC3-4,7/25/18,11.21-12.27,2,16.5,15
BC4-6,7/25/18,12.57-2.02,3,15,1
BC4-2,7/25/18,12.57-2.02,3,17.5,3
BC3-1,7/25/18,12.57-2.02,3,18,5
BC4-5,7/25/18,12.57-2.02,3,15,6
BC4-4,7/25/18,12.57-2.02,3,17,7
BC4-14,7/25/18,12.57-2.02,3,15,8
BC3-9,7/25/18,12.57-2.02,3,16.5,10
BC4-13,7/25/18,12.57-2.02,3,15.5,11
BC4-7,7/25/18,12.57-2.02,3,15,12
BC4-1,7/25/18,12.57-2.02,3,16,13
BC4-11,7/25/18,12.57-2.02,3,15,14
BC4-10,7/25/18,12.57-2.02,3,15,15
BC3-12,7/26/18,7.49-8.58,1,12,1
BC4-14,7/26/18,7.49-8.58,1,12.5,3
BC4-6,7/26/18,7.49-8.58,1,15,4
BC4-5,7/26/18,7.49-8.58,1,15,5
BC4-4,7/26/18,7.49-8.58,1,16,6
BC3-1,7/26/18,7.49-8.58,1,15.5,7
BC4-2,7/26/18,7.49-8.58,1,16,8
BC4-11,7/26/18,7.49-8.58,1,15,9
BC4-1,7/26/18,7.49-8.58,1,16,10
BC4-7,7/26/18,7.49-8.58,1,15,11
BC4-10,7/26/18,7.49-8.58,1,15,12
BC4-13,7/26/18,7.49-8.58,1,15.5,13
BC3-9,7/26/18,7.49-8.58,1,16.5,14
BC3-15,7/26/18,7.49-8.58,1,16.5,15
BC3-12,7/26/18,9.49-10.59,2,15,1
BC4-14,7/26/18,9.49-10.59,2,15,3
BC4-6,7/26/18,9.49-10.59,2,15,4
BC4-5,7/26/18,9.49-10.59,2,15,5
BC4-4,7/26/18,9.49-10.59,2,17,6
BC3-1,7/26/18,9.49-10.59,2,18,7
BC4-2,7/26/18,9.49-10.59,2,17.5,8
BC4-11,7/26/18,9.49-10.59,2,15,9
BC4-1,7/26/18,9.49-10.59,2,16,10
BC4-7,7/26/18,9.49-10.59,2,15,11
BC4-10,7/26/18,9.49-10.59,2,15,12
BC4-13,7/26/18,9.49-10.59,2,15.5,13
BC3-9,7/26/18,9.49-10.59,2,16.5,14
BC3-15,7/26/18,9.49-10.59,2,16.5,15
BC2-12,7/26/18,11.13-12.19,3,15,1
BC3-4,7/26/18,11.13-12.19,3,14,3
BC3-10,7/26/18,11.13-12.19,3,13.5,4
BC2-11,7/26/18,11.13-12.19,3,16.5,5
BC2-9,7/26/18,11.13-12.19,3,16,6
BC2-2,7/26/18,11.13-12.19,3,16.5,7
BC3-11,7/26/18,11.13-12.19,3,15.5,8
BC3-8,7/26/18,11.13-12.19,3,17,9
BC3-6,7/26/18,11.13-12.19,3,15,10
BC3-13,7/26/18,11.13-12.19,3,16.5,11
BC2-8,7/26/18,11.13-12.19,3,17,12
BC2-4,7/26/18,11.13-12.19,3,17,13
BC2-14,7/26/18,11.13-12.19,3,17.5,14
BC2-6,7/26/18,11.13-12.19,3,15,15
BC2-12,7/26/18,12.46-1.50,4,17,1
BC3-4,7/26/18,12.46-1.50,4,16.5,3
BC3-10,7/26/18,12.46-1.50,4,17,4
BC2-11,7/26/18,12.46-1.50,4,16.5,5
BC2-9,7/26/18,12.46-1.50,4,16,6
BC2-2,7/26/18,12.46-1.50,4,16.5,7
BC3-11,7/26/18,12.46-1.50,4,17,8
BC3-8,7/26/18,12.46-1.50,4,17,9
BC3-6,7/26/18,12.46-1.50,4,15,10
BC3-13,7/26/18,12.46-1.50,4,16.5,11
BC2-8,7/26/18,12.46-1.50,4,17,12
BC2-4,7/26/18,12.46-1.50,4,17,13
BC2-14,7/26/18,12.46-1.50,4,17.5,14
